title,imdbRating,ratingCount,duration,nrOfWins,nrOfNominations,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
Der Vagabund und das Kind (1921), ,40550,3240,1,0,96,85,3
Goldrausch (1925),8.3,45319,5700,2,1,110,122,3
Metropolis (1927),8.4,81007,9180,3,4,428,376,2
Der General (1926),8.3,37521,6420,1,1,123,219,3
Lichter der Großstadt (1931),8.7,70057,5220,2,0,187,186,3
M (1931),8.5,73726,7020,1,0,4,254,3
Es geschah in einer Nacht (1934),8.3,46503,6300,4,1,183,211,2
Moderne Zeiten (1936),8.6,90847,5220,3,1,27,180,2
Vom Winde verweht (1939),8.2,160414,14280,10,6,1263,653,3
Mr. Smith geht nach Washington (1939),8.4,58169,7740,4,10,110,226,1
Der Zauberer von Oz (1939),8.1,209506,6120,6,12,2363,477,3
Früchte des Zorns (1940),8.2,45737,7740,6,5,135,257,1
Der große Diktator (1940),8.5,87969,7500,5,1,181,173,3
Rebecca (1940),8.3,65670,7800,2,9,328,241,3
Citizen Kane (1941),8.5,228617,7140,7,10,1439,1101,2
Die Spur des Falken (1941),8.2,86012,6000,1,0,332,294,3
Casablanca (1942),8.6,296802,6120,5,6,382,960,3
Frau ohne Gewissen (1944),8.5,71266,6420,3,0,231,260,3
Die besten Jahre unseres Lebens (1946),8.3,30002,10320,13,1,129,218,3
Tote schlafen fest (1946),8.1,50020,6840,1,0,171,215,3
It's a Wonderful Life (1946),8.7,197764,7800,6,0,531,626,3
Berüchtigt (1946),8.2,56306,6060,2,1,102,260,3
Fahrraddiebe (1948),8.4,63797,5280,17,0,239,202,1
Cocktail für eine Leiche (1948),8.1,72370,4800,0,0,199,283,3
Der Schatz der Sierra Madre (1948),8.4,59298,7560,12,4,149,190,3
Der dritte Mann (1949),8.4,85964,6240,3,4,338,364,3
Alles über Eva (1950),8.4,61738,8280,15,15,253,276,1
Rashomon (1950),8.4,74219,5280,9,2,102,238,2
Boulevard der Dämmerung (1950),8.6,102072,6600,17,13,1033,394,2
Der Fremde im Zug (1951),8.1,69387,5520,1,1,326,245,3
Zwölf Uhr mittags (1952),8.2,60817,5100,12,10,361,309,2
Ikiru - Einmal richtig leben (1952),8.4,29478,8580,5,0,57,136,1
Du sollst mein Glücksstern sein (1952),8.4,108115,6180,4,7,333,441,3
Ein Herz und eine Krone (1953),8.1,69739,7080,7,14,136,193,3
Stalag 17 (1953),8.1,36013,6960,1,4,67,130,3
Die Teuflischen (1955),8.3,29309,6840,4,0,77,135,3
Bei Anruf Mord (1954),8.2,72579,6300,3,2,232,223,2
Die Faust im Nacken (1954),8.3,74023,6480,21,7,352,255,2
Das Fenster zum Hof (1954),8.6,229323,6720,6,6,711,580,2
Die sieben Samurai (1954),8.8,172690,12420,4,5,576,548,2
Das Lied der Straße (1954),8.2,35143,6480,10,4,108,108,1
Die Nacht des Jägers (1955),8.1,47739,5580,1,0,152,322,3
Killing (1956),8.1,47740,5100,0,0,59,304,3
Die zwölf Geschworenen (1957),8.9,293725,5760,16,6,68,726,1
Die Brücke am Kwai (1957),8.3,109972,9660,24,5,160,243,3
Wege zum Ruhm (1957),8.5,84945,5280,3,2,208,313,2
Das siebente Siegel (1957),8.3,80684,5760,7,1,193,236,2
Wilde Erdbeeren (1957),8.3,45457,5460,12,2,107,130,1
Zeugin der Anklage (1957),8.5,40385,6960,3,8,32,172,3
Im Zeichen des Bösen (1958),8.2,55474,5700,3,1,211,245,3
Vertigo - Aus dem Reich der Toten (1958),8.5,176267,7680,6,3,671,618,3
Ben Hur (1959),8.2,115402,12720,20,5,193,340,2
Der unsichtbare Dritte (1959),8.5,166029,8160,7,4,644,466,3
Sie küßten und sie schlugen ihn (1959),8.2,49996,5940,6,3,178,159,2
Manche mögen's heiß (1959),8.4,129721,7200,12,8,546,329,1
Das Appartement (1960),8.4,77601,7500,18,8,211,221,3
Das süße Leben (1960),8.1,35788,10440,8,12,350,149,2
Psycho (1960),8.6,296676,6540,6,5,2059,885,3
Haie der Großstadt (1961),8.1,47138,8040,15,14,130,145,2
Das Urteil von Nürnberg (1961),8.3,28790,11160,17,21,98,156,3
Die Leibwache (1961),8.4,53475,6600,4,1,144,139,2
Lawrence von Arabien (1962),8.4,140727,12960,20,13,929,509,3
Wer die Nachtigall stört (1962),8.4,154978,7740,12,12,524,407,3
Achteinhalb (1963),8.2,58426,8280,14,8,22,202,2
Dr. Seltsam\,dr seltsam oder wie ich lernte die bombe zu lieben,http://www.imdb.com/title/tt0057012/,8.6,1964,video.movie,4,56,432
Gesprengte Ketten (1963),8.3,120161,10320,4,4,309,285,3
Für eine Handvoll Dollar (1964),8.1,92532,5940,1,1,206,215,1
Schlacht um Algier (1966),8.2,25876,7260,9,3,129,236,3
Für ein paar Dollar mehr (1965),8.4,104305,7920,0,0,102,201,1
Zwei glorreiche Halunken (1966),9,354997,9660,1,0,11,684,2
Persona (1966),8.2,40639,5100,8,1,92,149,1
Wer hat Angst vor Virginia Woolf? (1966),8.2,41330,7860,20,18,10,213,1
Der Unbeugsame (1967),8.2,90643,7560,5,6,229,249,2
Die Reifeprüfung (1967),8.1,161502,6360,20,13,329,573,3
2001: Odyssee im Weltraum (1968),8.3,295641,9600,12,6,28,1568,3
Butch Cassidy und Sundance Kid (1969),8.2,111087,6600,18,12,508,281,3
Spiel mir das Lied vom Tod (1968),8.7,158065,10500,5,4,277,518,1
Uhrwerk Orange (1971),8.4,386962,8160,11,13,1076,1250,3
Der Pate (1972),9.2,821410,10500,29,19,1307,1751,2
Der Clou (1973),8.4,127640,7740,10,6,275,224,3
Chinatown (1974),8.3,159935,7800,20,22,547,412,3
Der Pate 2 (1974),9.1,541351,12000,11,16,197,565,2
Die Ritter der Kokosnuß (1975),8.4,284563,5460,0,0,260,613,3
Barry Lyndon (1975),8.1,74677,11040,15,11,253,341,1
Hundstage (1975),8.1,137696,7500,13,17,438,228,2
Der weiße Hai (1975),8.1,290528,7440,9,14,1497,880,3
Einer flog über das Kuckucksnest (1975),8.8,492141,7980,30,12,397,675,1
Network (1976),8.2,75434,7260,22,19,366,295,1
Rocky (1976),8.1,243942,7140,17,20,1161,479,2
Taxi Driver (1976),8.4,351181,6780,26,9,1830,768,2
Der Stadtneurotiker (1977),8.2,138617,5580,26,7,37,408,2
Krieg der Sterne (1977),8.7,631839,7260,35,26,23660,1325,3
Die durch die Hölle gehen (1978),8.2,174642,10920,21,17,488,949,2
Alien - Das unheimliche Wesen aus einer fremden Welt (1979),8.5,391737,7020,12,18,5671,991,2
Apocalypse Now (1979),8.5,333178,9180,17,30,1356,896,2
Das Leben des Brian (1979),8.2,198548,5640,0,0,275,298,1
Stalker (1979),8.2,47589,9780,2,1,34,253,2
Der Elefantenmensch (1980),8.3,120156,7440,10,13,242,325,2
Das Imperium schlägt zurück (1980),8.8,563252,7440,12,16,1774,764,3
Wie ein wilder Stier (1980),8.3,172854,7740,26,19,1478,454,3
Shining (1980),8.5,418163,8640,2,5,1528,1208,1
Das Boot (1981),8.5,127022,8940,13,5,67,397,3
Jäger des verlorenen Schatzes (1981),8.6,473742,6900,25,22,2004,691,2
Der Blade Runner (1982),8.3,350268,7020,10,15,4395,1072,3
Fanny und Alexander (1982),8.2,30266,11280,20,7,99,91,1
Gandhi (1982),8.1,121887,11460,30,16,304,222,3
Das Ding aus einer anderen Welt (1982),8.2,188733,6540,0,0,1702,849,3
Fröhliche Weihnachten (1983),8.1,85811,5640,3,11,621,431,2
Die Rückkehr der Jedi-Ritter (1983),8.4,445123,8040,12,14,1879,558,3
Scarface - Toni\,http://www.imdb.com/title/tt0086250/,8.3,379114,video.movie,0,134,985,777
Amadeus (1984),8.4,198201,9600,33,13,242,500,3
Nausicaä - Prinzessin aus dem Tal der Winde (1984),8.2,60197,7020,3,0,41,161,3
Es war einmal in Amerika (1984),8.4,159607,13740,13,4,187,461,2
Terminator (1984),8.1,413108,6420,5,6,3869,602,2
Zurück in die Zukunft (1985),8.5,478445,6960,13,24,3628,680,3
Ran (1985),8.3,58697,9720,28,18,106,220,3
Aliens - Die Rückkehr (1986),8.5,353899,8220,16,21,2150,998,3
Platoon (1986),8.2,217699,7200,22,10,467,476,3
Stand by Me - Das Geheimnis eines Sommers (1986),8.2,198139,5340,3,10,903,536,2
Das Schloss im Himmel (1986),8.1,61387,7440,1,0,132,152,3
Full Metal Jacket (1987),8.4,334586,6960,7,7,621,621,2
Die Braut des Prinzen (1987),8.2,222749,5880,5,8,958,662,3
Stirb langsam (1988),8.3,431906,7860,6,2,2360,667,2
Die letzten Leuchtkäfer (1988),8.5,85046,5340,3,0,156,436,3
Cinema Paradiso (1988),8.5,103093,9300,19,22,215,357,1
Mein Nachbar Totoro (1988),8.3,101445,5160,5,1,330,273,3
Indiana Jones und der letzte Kreuzzug (1989),8.3,364585,7620,4,19,362,440,2
GoodFellas - Drei Jahrzehnte in der Mafia (1990),8.8,515242,8760,40,23,1504,883,3
Die Schöne und das Biest (1991),8.1,208331,5040,21,19,3057,310,3
Das Schweigen der Lämmer (1991),8.6,584102,7080,44,30,1076,798,3
Terminator 2 - Tag der Abrechnung (1991),8.5,523543,8220,20,19,855,869,3
Reservoir Dogs - Wilde Hunde (1992),8.4,454684,5940,11,9,1603,855,2
Erbarmungslos (1992),8.3,205938,7860,40,20,568,453,1
...und täglich grüßt das Murmeltier (1993),8.1,309177,6060,6,7,1237,542,3
Im Namen des Vaters (1993),8.2,74591,7980,9,15,318,139,3
Schindlers Liste (1993),8.9,599579,11700,70,25,857,1095,3
Forrest Gump (1994),8.8,799314,8520,38,46,1908,1133,2
Der König der Löwen (1994),8.5,408078,5340,25,22,2908,542,3
Léon - Der Profi (1994),8.6,501117,6600,3,8,1194,754,3
Pulp Fiction (1994),9,911042,9240,62,46,3824,1818,3
Die Verurteilten (1994),9.3,1183395,8520,15,15,1913,3046,2
Drei Farben - Rot (1994),8.1,47730,5940,18,15,29,116,3
